iter,role,kernel,waitcnt_line,kind,rc,outcome,dump_hash,n_divergent_lanes,diff_summary
2,original,accum_and_32,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
2,original,loop_accum_xor_128,,,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
2,mutant,loop_accum_xor_128,281,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
2,mutant,accum_and_64,345,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
2,mutant,loop_accum_add_128,273,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
2,mutant,regs_pressure_64,166,vmcnt,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
2,mutant,loop_accum_add_64,163,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
2,mutant,accum_sub_96,151,lgkmcnt,0,match,405a4e0ac5b11e2461dd3f8f4641216d7e51f1b5,0,
2,original,accum_xor_96,,,0,match,080d7a3227028fa87d56a7511906c269b114d52a,0,
2,mutant,accum_and_64,375,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
2,mutant,deep_chain_32,169,vmcnt,0,diverge,7e49dda67794bb7c7f80deb8aacd04236b5f6c99,32,v5 lane00 orig=dead0020 mut=3eff6dba (32 lanes differ)
2,mutant,loop_accum_xor_32,82,vmcnt,0,diverge,7a7536004f4c98c1ced93330a91c3bf43d7e50fb,0,
2,original,accum_and_8,,,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
2,original,accum_or_64,,,0,match,32258f300335c796be438b4a26ff9025d6040b3a,0,
2,mutant,load_compute_store_4,41,lgkmcnt,0,match,acffb5702cf41ab06bbc8cf0ecf1a5bfc3cddf20,0,
2,mutant,accum_or_32,147,vmcnt,0,match,b8eb9d65d3338fcf60773eab27b73109835e5854,0,
2,original,regs_pressure_64,,,0,match,474eef46027fd61a1d555000af12cb7f6f0ebf4b,0,
2,mutant,accum_and_64,323,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
2,mutant,loop_accum_xor_32,80,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
2,original,accum_sub_64,,,0,match,bd57ee79e7133bc0cb68a8a851d23a950ea85fca,0,
2,mutant,accum_and_96,478,vmcnt,0,match,96d02e012b9aa9c62ccfd7b16dbecbc754878b21,0,
2,mutant,loop_accum_xor_128,286,vmcnt,0,match,af2231b551392516bd61500af76193c38ad70dce,0,
