kernel,waitcnt_line,original_matches_expected,mutant_matches_original,mutant_matches_expected,notes
accum_and_64,338,yes,yes,yes,
accum_and_64,340,yes,yes,yes,
accum_and_64,343,yes,yes,yes,
accum_and_64,345,yes,yes,yes,
accum_and_64,348,yes,yes,yes,
accum_and_64,350,yes,yes,yes,
accum_and_64,353,yes,yes,yes,
accum_and_64,355,yes,yes,yes,
accum_and_64,358,yes,yes,yes,
accum_and_64,360,yes,yes,yes,
accum_and_64,363,yes,yes,yes,
accum_and_64,365,yes,yes,yes,
accum_and_64,368,yes,yes,yes,
accum_and_64,370,yes,yes,yes,
accum_and_64,373,yes,yes,yes,
accum_and_64,375,yes,yes,yes,
accum_and_64,378,yes,yes,yes,
accum_and_64,380,yes,yes,yes,
accum_and_64,383,yes,yes,yes,
accum_and_64,385,yes,yes,yes,
accum_and_64,388,yes,yes,yes,
accum_and_64,390,yes,yes,yes,
accum_and_64,393,yes,yes,yes,
accum_and_64,395,yes,yes,yes,
accum_and_64,398,yes,yes,yes,
accum_and_64,400,yes,yes,yes,
accum_and_64,403,yes,yes,yes,
accum_and_64,405,yes,yes,yes,
accum_and_64,408,yes,yes,yes,
accum_and_64,410,yes,yes,yes,
accum_and_64,413,yes,yes,yes,
accum_and_64,415,yes,yes,yes,
accum_and_64,418,yes,yes,yes,
accum_and_64,420,yes,yes,yes,
accum_and_64,423,yes,yes,yes,
accum_and_64,425,yes,yes,yes,
accum_and_64,428,yes,yes,yes,
accum_and_64,430,yes,yes,yes,
accum_and_8,17,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_and_8,46,yes,yes,yes,
accum_and_8,53,yes,yes,yes,
accum_and_8,55,yes,yes,yes,
accum_and_8,58,yes,yes,yes,
accum_and_8,60,yes,yes,yes,
accum_and_8,63,yes,yes,yes,
accum_and_8,65,yes,yes,yes,
accum_and_8,68,yes,yes,yes,
accum_and_96,19,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_and_96,53,yes,yes,yes,
accum_and_96,70,yes,yes,yes,
accum_and_96,107,yes,yes,yes,
accum_and_96,208,yes,yes,yes,
accum_and_96,253,yes,yes,yes,
accum_and_96,257,yes,yes,yes,
accum_and_96,260,yes,yes,yes,
accum_and_96,263,yes,yes,yes,
accum_and_96,268,yes,yes,yes,
accum_and_96,273,yes,yes,yes,
accum_and_96,278,yes,yes,yes,
accum_and_96,282,yes,yes,yes,
accum_and_96,287,yes,yes,yes,
accum_and_96,291,yes,yes,yes,
accum_and_96,296,yes,yes,yes,
accum_and_96,301,yes,yes,yes,
accum_and_96,308,yes,yes,yes,
accum_and_96,313,yes,yes,yes,
accum_and_96,317,yes,yes,yes,
accum_and_96,324,yes,yes,yes,
accum_and_96,330,yes,yes,yes,
accum_and_96,334,yes,yes,yes,
accum_and_96,340,yes,yes,yes,
accum_and_96,344,yes,yes,yes,
accum_and_96,351,yes,yes,yes,
accum_and_96,357,yes,yes,yes,
accum_and_96,361,yes,yes,yes,
accum_and_96,366,yes,yes,yes,
accum_and_96,372,yes,yes,yes,
accum_and_96,378,yes,yes,yes,
accum_and_96,382,yes,yes,yes,
accum_and_96,393,yes,yes,yes,
accum_and_96,397,yes,yes,yes,
accum_and_96,410,yes,yes,yes,
accum_and_96,418,yes,yes,yes,
accum_and_96,424,yes,yes,yes,
accum_and_96,433,yes,yes,yes,
accum_and_96,440,yes,yes,yes,
accum_and_96,443,yes,yes,yes,
accum_and_96,446,yes,yes,yes,
accum_and_96,448,yes,yes,yes,
accum_and_96,451,yes,yes,yes,
accum_and_96,453,yes,yes,yes,
accum_and_96,456,yes,yes,yes,
accum_and_96,458,yes,yes,yes,
accum_and_96,461,yes,yes,yes,
accum_and_96,463,yes,yes,yes,
accum_and_96,466,yes,yes,yes,
accum_and_96,468,yes,yes,yes,
accum_and_96,471,yes,yes,yes,
accum_and_96,473,yes,yes,yes,
accum_and_96,476,yes,yes,yes,
accum_and_96,478,yes,yes,yes,
accum_and_96,481,yes,yes,yes,
accum_and_96,483,yes,yes,yes,
accum_and_96,486,yes,yes,yes,
accum_and_96,488,yes,yes,yes,
accum_and_96,491,yes,yes,yes,
accum_and_96,493,yes,yes,yes,
accum_and_96,496,yes,yes,yes,
accum_and_96,498,yes,yes,yes,
accum_and_96,501,yes,yes,yes,
accum_and_96,503,yes,yes,yes,
accum_and_96,506,yes,yes,yes,
accum_and_96,508,yes,yes,yes,
accum_and_96,511,yes,yes,yes,
accum_and_96,513,yes,yes,yes,
accum_and_96,516,yes,yes,yes,
accum_and_96,518,yes,yes,yes,
accum_and_96,521,yes,yes,yes,
accum_and_96,523,yes,yes,yes,
accum_and_96,526,yes,yes,yes,
accum_and_96,528,yes,yes,yes,
accum_and_96,531,yes,yes,yes,
accum_and_96,533,yes,yes,yes,
accum_and_96,536,yes,yes,yes,
accum_and_96,538,yes,yes,yes,
accum_and_96,541,yes,yes,yes,
accum_and_96,543,yes,yes,yes,
accum_and_96,546,yes,yes,yes,
accum_and_96,548,yes,yes,yes,
accum_and_96,551,yes,yes,yes,
accum_and_96,553,yes,yes,yes,
accum_and_96,556,yes,yes,yes,
accum_and_96,558,yes,yes,yes,
accum_and_96,561,yes,yes,yes,
accum_and_96,563,yes,yes,yes,
accum_and_96,566,yes,yes,yes,
accum_and_96,568,yes,yes,yes,
accum_and_96,571,yes,yes,yes,
accum_and_96,573,yes,yes,yes,
accum_and_96,576,yes,yes,yes,
accum_and_96,578,yes,yes,yes,
accum_and_96,581,yes,yes,yes,
accum_and_96,583,yes,yes,yes,
accum_and_96,586,yes,yes,yes,
accum_and_96,588,yes,yes,yes,
accum_and_96,591,yes,yes,yes,
accum_and_96,593,yes,yes,yes,
accum_or_16,17,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_16,47,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_or_16,80,yes,yes,yes,
accum_or_16,82,yes,yes,yes,
accum_or_16,85,yes,no,no,v5 lane00 orig=dead03e0 mut=ffed63e3 (32 lanes differ)
accum_or_16,87,yes,yes,yes,
accum_or_16,90,yes,no,no,v5 lane00 orig=dead03e0 mut=dead53e0 (32 lanes differ)
accum_or_16,92,yes,no,no,v5 lane00 orig=dead03e0 mut=ffadc3e0 (32 lanes differ)
accum_or_16,95,yes,yes,yes,
accum_or_16,97,yes,yes,yes,
accum_or_32,20,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_32,86,yes,yes,yes,
accum_or_32,132,yes,yes,yes,
accum_or_32,134,yes,yes,yes,
accum_or_32,137,yes,yes,yes,
accum_or_32,139,yes,yes,yes,
accum_or_32,142,yes,yes,yes,
accum_or_32,144,yes,yes,yes,
accum_or_32,147,yes,yes,yes,
accum_or_32,149,yes,yes,yes,
accum_or_32,152,yes,yes,yes,
accum_or_32,154,yes,yes,yes,
accum_or_32,157,yes,yes,yes,
accum_or_32,159,yes,yes,yes,
accum_or_32,162,yes,yes,yes,
accum_or_32,164,yes,yes,yes,
accum_or_32,167,yes,yes,yes,
accum_or_32,169,yes,no,no,v5 lane00 orig=dead07e0 mut=dead77e7 (32 lanes differ)
accum_or_4,15,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_4,30,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_4,39,yes,yes,yes,
accum_or_4,41,yes,yes,yes,
accum_or_64,21,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_or_64,42,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_64,85,yes,yes,yes,
accum_or_64,253,yes,yes,yes,
accum_or_64,260,yes,yes,yes,
accum_or_64,262,yes,yes,yes,
accum_or_64,265,yes,yes,yes,
accum_or_64,267,yes,yes,yes,
accum_or_64,270,yes,yes,yes,
accum_or_64,272,yes,yes,yes,
accum_or_64,275,yes,yes,yes,
accum_or_64,277,yes,yes,yes,
accum_or_64,280,yes,yes,yes,
accum_or_64,282,yes,yes,yes,
accum_or_64,285,yes,yes,yes,
accum_or_64,287,yes,yes,yes,
accum_or_64,290,yes,yes,yes,
accum_or_64,292,yes,yes,yes,
accum_or_64,295,yes,yes,yes,
accum_or_64,297,yes,yes,yes,
accum_or_64,300,yes,yes,yes,
accum_or_64,302,yes,yes,yes,
accum_or_64,305,yes,yes,yes,
accum_or_64,307,yes,yes,yes,
accum_or_64,310,yes,yes,yes,
accum_or_64,312,yes,yes,yes,
accum_or_64,315,yes,yes,yes,
accum_or_64,317,yes,yes,yes,
accum_or_64,320,yes,yes,yes,
accum_or_64,322,yes,yes,yes,
accum_or_64,325,yes,yes,yes,
accum_or_64,327,yes,yes,yes,
accum_or_64,330,yes,yes,yes,
accum_or_64,332,yes,yes,yes,
accum_or_64,335,yes,yes,yes,
accum_or_64,337,yes,yes,yes,
accum_or_8,17,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_8,44,yes,yes,yes,
accum_or_8,53,yes,yes,yes,
accum_or_8,55,yes,yes,yes,
accum_or_8,58,yes,yes,yes,
accum_or_8,60,yes,yes,yes,
accum_or_96,25,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_96,43,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_or_96,151,yes,yes,yes,
accum_or_96,193,yes,yes,yes,
accum_or_96,224,yes,yes,yes,
accum_or_96,255,yes,yes,yes,
accum_or_96,287,yes,yes,yes,
accum_or_96,292,yes,yes,yes,
accum_or_96,312,yes,yes,yes,
accum_or_96,380,yes,yes,yes,
accum_or_96,407,yes,yes,yes,
accum_or_96,410,yes,yes,yes,
accum_or_96,412,yes,yes,yes,
accum_or_96,415,yes,yes,yes,
accum_or_96,417,yes,yes,yes,
accum_or_96,420,yes,yes,yes,
accum_or_96,422,yes,yes,yes,
accum_or_96,425,yes,yes,yes,
accum_or_96,427,yes,yes,yes,
accum_or_96,430,yes,yes,yes,
accum_or_96,432,yes,yes,yes,
accum_or_96,435,yes,yes,yes,
accum_or_96,437,yes,yes,yes,
accum_or_96,440,yes,yes,yes,
accum_or_96,442,yes,yes,yes,
accum_or_96,445,yes,yes,yes,
accum_or_96,447,yes,yes,yes,
accum_or_96,450,yes,yes,yes,
accum_or_96,452,yes,yes,yes,
accum_or_96,455,yes,yes,yes,
accum_or_96,457,yes,yes,yes,
accum_or_96,460,yes,yes,yes,
accum_or_96,462,yes,yes,yes,
accum_or_96,465,yes,yes,yes,
accum_or_96,467,yes,yes,yes,
accum_or_96,470,yes,yes,yes,
accum_or_96,472,yes,yes,yes,
accum_or_96,475,yes,yes,yes,
accum_or_96,477,yes,yes,yes,
accum_or_96,480,yes,yes,yes,
accum_or_96,482,yes,yes,yes,
accum_sub_16,17,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_16,47,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_sub_16,80,yes,yes,yes,
accum_sub_16,82,yes,yes,yes,
