mutant_id,kernel,family,deleted_line,deleted_inst,waitcnt_kind,vmcnt,vlq_count,plq_count,ds_pending,vscnt,classification,bm_outcome
accum_add_8__L60,accum_add_8,accum_n_distinct,60,s_waitcnt vmcnt(0),vmcnt,2,2,0,0,0,load_bearing,match
accum_add_96__L151,accum_add_96,accum_n_distinct,151,s_waitcnt lgkmcnt(0),lgkmcnt,24,24,5,0,0,load_bearing,match
accum_add_96__L193,accum_add_96,accum_n_distinct,193,s_waitcnt lgkmcnt(0),lgkmcnt,38,38,3,0,0,load_bearing,divergent
accum_add_96__L224,accum_add_96,accum_n_distinct,224,s_waitcnt lgkmcnt(0),lgkmcnt,48,48,2,0,0,load_bearing,match
accum_add_96__L255,accum_add_96,accum_n_distinct,255,s_waitcnt lgkmcnt(0),lgkmcnt,56,56,1,0,0,load_bearing,match
accum_add_96__L287,accum_add_96,accum_n_distinct,287,s_waitcnt vmcnt(62),vmcnt,69,69,4,0,0,load_bearing,match
accum_add_96__L292,accum_add_96,accum_n_distinct,292,s_waitcnt vmcnt(61),vmcnt,62,62,4,0,0,load_bearing,match
accum_add_96__L312,accum_add_96,accum_n_distinct,312,s_waitcnt lgkmcnt(0),lgkmcnt,66,66,4,0,0,load_bearing,match
accum_add_96__L380,accum_add_96,accum_n_distinct,380,s_waitcnt vmcnt(62),vmcnt,88,88,0,0,0,load_bearing,match
accum_add_96__L407,accum_add_96,accum_n_distinct,407,s_waitcnt vmcnt(60),vmcnt,62,62,0,0,0,load_bearing,match
accum_add_96__L410,accum_add_96,accum_n_distinct,410,s_waitcnt vmcnt(58),vmcnt,60,60,0,0,0,load_bearing,match
accum_add_96__L412,accum_add_96,accum_n_distinct,412,s_waitcnt vmcnt(56),vmcnt,58,58,0,0,0,load_bearing,match
accum_add_96__L415,accum_add_96,accum_n_distinct,415,s_waitcnt vmcnt(54),vmcnt,56,56,0,0,0,load_bearing,match
accum_add_96__L417,accum_add_96,accum_n_distinct,417,s_waitcnt vmcnt(52),vmcnt,54,54,0,0,0,load_bearing,match
