kernel,waitcnt_line,waitcnt_kind,original_hazards,mutant_hazards,new_hazard_detected,mutant_asm_path
accum_add_64,21,lgkmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x10 | [HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_64__L21.s
accum_add_64,42,lgkmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x8 | [HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_64__L42.s
accum_add_64,85,lgkmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x40 | [HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_64__L85.s
accum_add_64,253,lgkmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] Load result used without synchronisation primitives. This may return stale data on bare metal. Use s_waitcnt to avoid stale loads.x2 | [HAZARD] read of v2x32,yes,tests/mutation/mutants/accum_add_64__L253.s
accum_add_64,260,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x64 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v35x32,yes,tests/mutation/mutants/accum_add_64__L260.s
accum_add_64,262,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v36x32 | [HAZARD] read of v37x32,yes,tests/mutation/mutants/accum_add_64__L262.s
accum_add_64,265,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v38x32 | [HAZARD] read of v39x32,yes,tests/mutation/mutants/accum_add_64__L265.s
accum_add_64,267,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v40x32 | [HAZARD] read of v41x32,yes,tests/mutation/mutants/accum_add_64__L267.s
accum_add_64,270,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x64 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v13x32,yes,tests/mutation/mutants/accum_add_64__L270.s
accum_add_64,272,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v14x32 | [HAZARD] read of v15x32,yes,tests/mutation/mutants/accum_add_64__L272.s
accum_add_64,275,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v16x32 | [HAZARD] read of v17x32,yes,tests/mutation/mutants/accum_add_64__L275.s
accum_add_64,277,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v18x32 | [HAZARD] read of v19x32,yes,tests/mutation/mutants/accum_add_64__L277.s
accum_add_64,280,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v20x32 | [HAZARD] read of v21x32,yes,tests/mutation/mutants/accum_add_64__L280.s
accum_add_64,282,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v22x32 | [HAZARD] read of v23x32,yes,tests/mutation/mutants/accum_add_64__L282.s
accum_add_64,285,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v24x32 | [HAZARD] read of v25x32,yes,tests/mutation/mutants/accum_add_64__L285.s
